  8.4596   37.548   251.69     WC05       XX        5 -16.9422 -171.7080    10.00    0.000   0.0000   1.0000   0.3000
  8.2519   40.762   252.29     EE03       XX        5 -16.9422 -171.7080    10.00    0.000   0.0000   1.0000   0.3000
  8.2101   41.373   251.19     EE02       XX        5 -16.9422 -171.7080    10.00    0.000   0.0000   1.0000   0.3000
  8.4694   37.399   249.97     WW03       XX        5 -16.9422 -171.7080    10.00    0.000   0.0000   1.0000   0.3000
  8.4225   38.146   250.91     WC04       XX        5 -16.9422 -171.7080    10.00    0.000   0.0000   1.0000   0.3000
  7.0887   56.930   255.25     WC05       XX        6 -16.3776 167.8940    35.00    0.000   0.0000   1.0000   0.3000
  7.0659   57.267   253.78     WW02       XX        6 -16.3776 167.8940    35.00    0.000   0.0000   1.0000   0.3000
  6.8792   59.830   255.87     EE04       XX        6 -16.3776 167.8940    35.00    0.000   0.0000   1.0000   0.3000
  6.8142   60.744   254.65     EE02       XX        6 -16.3776 167.8940    35.00    0.000   0.0000   1.0000   0.3000
  6.8851   59.752   253.49     CC01       XX        6 -16.3776 167.8940    35.00    0.000   0.0000   1.0000   0.3000
  6.7328   61.776   116.38     EC02       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.5977   63.646   115.98     WC03       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.8136   60.668   116.27     EE02       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.6544   62.848   116.74     CC02       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.7548   61.467   115.57     EC04       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.6787   62.515   115.89     CC07       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
  6.6212   63.323   115.60     WC04       XX        7 -25.8985 -70.6676    51.00    0.000   0.0000   1.0000   0.3000
